500 62583
0 1 18
0 2 14
0 7 4
0 13 20
0 14 1
0 18 16
0 19 14
0 20 13
0 23 15
0 25 10
0 26 20
0 29 10
0 30 2
0 31 3
0 36 8
0 40 14
0 42 9
0 50 7
0 54 3
0 55 8
0 56 16
0 59 16
0 62 9
0 63 4
0 64 18
0 65 11
0 67 20
0 71 12
0 72 14
0 73 14
0 75 9
0 78 11
0 79 2
0 80 9
0 81 21
0 82 5
0 83 2
0 84 21
0 85 20
0 87 4
0 89 11
0 91 19
0 93 18
0 94 20
0 95 19
0 101 16
0 102 19
0 105 6
0 109 13
0 111 20
0 112 3
0 114 11
0 115 21
0 116 15
0 117 11
0 120 4
0 121 18
0 123 20
0 127 19
0 132 14
0 134 11
0 139 8
0 142 18
0 143 19
0 148 9
0 150 15
0 155 8
0 157 13
0 158 8
0 159 8
0 160 4
0 162 7
0 165 18
0 166 10
0 168 16
0 169 9
0 172 18
0 173 2
0 178 3
0 179 11
0 181 22
0 183 4
0 184 22
0 189 16
0 190 6
0 191 13
0 193 7
0 194 11
0 198 14
0 201 18
0 202 6
0 203 4
0 205 18
0 206 5
0 207 20
0 213 5
0 215 19
0 217 15
0 221 12
0 222 13
0 223 18
0 225 18
0 226 2
0 227 20
0 230 9
0 237 21
0 239 16
0 244 3
0 247 7
0 248 21
0 249 4
0 251 6
0 254 16
0 256 1
0 258 14
0 259 11
0 260 3
0 261 4
0 263 16
0 264 17
0 272 6
0 273 12
0 274 4
0 275 5
0 277 8
0 278 21
0 283 11
0 288 3
0 289 15
0 290 2
0 291 20
0 294 22
0 295 8
0 297 10
0 298 21
0 300 20
0 302 5
0 305 20
0 307 5
0 311 17
0 313 21
0 317 8
0 318 6
0 319 4
0 324 9
0 326 5
0 330 5
0 333 12
0 337 21
0 338 15
0 339 18
0 343 15
0 345 14
0 346 2
0 347 16
0 350 8
0 353 18
0 355 4
0 357 8
0 359 15
0 362 16
0 364 22
0 366 3
0 368 19
0 371 1
0 373 10
0 374 9
0 376 7
0 380 3
0 383 18
0 384 11
0 387 16
0 390 14
0 392 12
0 396 5
0 397 17
0 399 1
0 400 15
0 403 11
0 405 5
0 406 20
0 409 7
0 411 13
0 413 2
0 414 3
0 415 5
0 417 13
0 421 5
0 424 19
0 425 12
0 426 18
0 428 5
0 429 22
0 430 7
0 431 15
0 432 8
0 436 8
0 440 5
0 450 15
0 451 6
0 453 1
0 454 12
0 455 15
0 462 8
0 463 6
0 464 5
0 465 15
0 468 14
0 469 9
0 471 13
0 472 10
0 473 3
0 475 7
0 476 18
0 479 19
0 480 4
0 482 21
0 484 3
0 488 19
0 489 13
0 490 2
0 493 22
0 495 11
0 498 15
0 499 18
1 4 21
1 5 4
1 6 10
1 8 6
1 9 11
1 10 14
1 12 9
1 13 1
1 14 20
1 15 16
1 18 16
1 19 1
1 20 6
1 22 14
1 23 6
1 26 2
1 28 7
1 30 17
1 31 9
1 33 13
1 35 18
1 36 3
1 38 18
1 43 5
1 49 8
1 51 9
1 54 10
1 56 12
1 57 5
1 58 11
1 59 7
1 61 17
1 62 16
1 63 4
1 65 4
1 70 14
1 72 11
1 75 7
1 76 8
1 77 6
1 78 4
1 80 11
1 83 18
1 84 12
1 85 21
1 88 1
1 91 13
1 92 11
1 94 20
1 99 7
1 104 21
1 107 11
1 110 14
1 112 21
1 113 9
1 116 11
1 119 20
1 120 17
1 121 11
1 123 17
1 130 12
1 131 19
1 132 20
1 133 13
1 134 2
1 137 3
1 138 5
1 139 13
1 141 5
1 143 10
1 144 13
1 145 4
1 147 5
1 148 22
1 152 4
1 153 10
1 155 3
1 156 19
1 157 21
1 158 22
1 159 7
1 160 4
1 161 17
1 163 15
1 165 10
1 168 4
1 170 14
1 172 19
1 173 11
1 177 13
1 178 5
1 179 14
1 180 5
1 184 3
1 186 5
1 187 10
1 188 6
1 189 6
1 190 4
1 192 7
1 193 5
1 194 22
1 197 12
1 199 20
1 202 13
1 206 7
1 207 1
1 211 1
1 213 3
1 214 3
1 215 9
1 216 6
1 220 20
1 222 3
1 223 7
1 224 12
1 228 10
1 229 22
1 230 20
1 233 12
1 234 14
1 239 1
1 241 12
1 242 15
1 244 17
1 246 4
1 249 7
1 251 4
1 254 4
1 256 18
1 258 22
1 260 20
1 261 18
1 262 21
1 264 9
1 265 19
1 270 6
1 272 2
1 275 17
1 276 9
1 277 22
1 278 12
1 279 12
1 281 19
1 282 16
1 283 21
1 288 14
1 289 3
1 290 11
1 292 15
1 294 7
1 295 9
1 296 19
1 297 16
1 298 4
1 299 5
1 300 2
1 301 22
1 305 2
1 307 14
1 308 21
1 309 4
1 310 22
1 313 13
1 315 5
1 316 4
1 318 8
1 319 20
1 325 1
1 328 6
1 329 20
1 330 6
1 331 5
1 333 20
1 334 19
1 337 10
1 338 1
1 339 17
1 341 4
1 343 17
1 344 19
1 346 3
1 348 6
1 351 1
1 356 9
1 358 21
1 360 12
1 362 11
1 363 15
1 365 13
1 370 18
1 371 20
1 372 19
1 373 12
1 375 19
1 376 17
1 377 21
1 378 21
1 380 5
1 385 1
1 386 13
1 387 20
1 390 20
1 392 12
1 394 1
1 400 1
1 415 15
1 417 1
1 418 21
1 420 21
1 423 6
1 425 10
1 426 3
1 427 12
1 430 14
1 432 8
1 437 18
1 438 2
1 441 2
1 443 2
1 444 2
1 445 17
1 447 16
1 448 3
1 450 16
1 451 20
1 453 11
1 456 19
1 457 19
1 458 14
1 463 19
1 465 21
1 468 14
1 470 8
1 471 2
1 472 7
1 473 14
1 477 14
1 478 22
1 479 6
1 481 6
1 484 4
1 485 16
1 487 9
1 488 16
1 490 9
1 494 19
1 495 14
1 496 8
1 499 13
2 4 12
2 6 17
2 9 3
2 10 5
2 11 8
2 14 21
2 15 4
2 16 6
2 18 14
2 19 22
2 20 11
2 22 2
2 24 16
2 26 17
2 27 3
2 28 14
2 29 20
2 32 13
2 34 8
2 36 8
2 37 17
2 40 1
2 44 15
2 46 12
2 47 18
2 48 11
2 49 10
2 50 20
2 52 5
2 54 4
2 55 13
2 56 16
2 60 14
2 61 3
2 68 8
2 71 4
2 72 3
2 73 21
2 74 9
2 78 19
2 80 1
2 83 15
2 85 21
2 88 2
2 91 9
2 93 5
2 97 2
2 99 1
2 100 19
2 103 9
2 108 19
2 109 20
2 111 2
2 113 18
2 115 14
2 117 11
2 119 20
2 121 17
2 122 12
2 123 17
2 126 5
2 127 8
2 131 12
2 133 11
2 135 17
2 139 1
2 141 8
2 142 5
2 146 3
2 147 15
2 149 16
2 151 4
2 156 5
2 157 19
2 158 4
2 159 8
2 160 16
2 161 3
2 162 12
2 165 4
2 166 7
2 170 11
2 174 12
2 175 16
2 177 4
2 178 2
2 180 4
2 181 15
2 184 8
2 185 21
2 186 15
2 187 9
2 189 8
2 191 6
2 192 17
2 195 16
2 197 12
2 200 1
2 204 21
2 205 10
2 206 15
2 209 9
2 212 20
2 216 8
2 217 1
2 219 11
2 222 22
2 223 15
2 227 5
2 228 22
2 229 10
2 230 1
2 231 12
2 235 22
2 238 11
2 240 15
2 241 15
2 244 20
2 249 4
2 250 9
2 253 12
2 254 22
2 256 14
2 257 2
2 261 15
2 267 4
2 271 12
2 272 9
2 274 4
2 275 2
2 276 1
2 277 16
2 279 14
2 280 10
2 281 3
2 283 15
2 284 17
2 285 11
2 287 2
2 288 9
2 289 7
2 290 5
2 296 5
2 299 2
2 300 2
2 301 9
2 302 1
2 307 19
2 308 13
2 309 16
2 310 7
2 311 18
2 313 20
2 314 14
2 315 16
2 316 19
2 317 20
2 318 12
2 321 14
2 322 20
2 323 3
2 324 18
2 326 13
2 329 3
2 331 19
2 332 13
2 337 9
2 338 4
2 339 21
2 342 15
2 344 14
2 345 20
2 348 16
2 349 21
2 351 18
2 353 20
2 355 9
2 356 4
2 357 10
2 364 12
2 365 15
2 366 21
2 367 1
2 368 7
2 370 12
2 371 14
2 372 18
2 373 22
